CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
672,1,15,18,66,66,18,18,0,0,132,66
2237,2,16,123,132,150,141,141,0,0,9,198
